,,Emissions Totals,,Emissions by Gas,,,,Emissions by Sector,,,,,,Energy Emissions by Sub-Sector,,,,,,Socio-economic Data,,
State,Year,Total GHG Emissions Excluding LUCF (MtCO2e),Total GHG Emissions Including LUCF (MtCO2e),Total CO2 (excluding LUCF) (MtCO2e),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land Use and Forestry (MtCO2e),Bunker Fuels (MtCO2e),Electric Power (MtCO2e),Commercial (MtCO2e),Residential (MtCO2e),Industrial (MtCO2e),Transportation (MtCO2e),Fugitive Emissions (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Total Energy Use (Thous. tonnes oil eq. (ktoe))
Washington,1990,85.39667023,43.97009461,72.54024617,5.388686551,4.628762149,2.838975358,74.22849555,3.039289809,5.618933153,2.509951718,-41.42657562,0,7.551957853,3.217423474,3.655658197,17.1482046,42.58024122,0.075010199,141946,4903043,51571.86712
West Virginia,1990,134.494647,123.7285528,104.3061914,28.27102733,1.431754224,0.485674035,130.5088772,1.376684905,1.190586717,1.41849815,-10.76609416,0,70.42138032,1.980102456,2.445930849,18.70089459,10.89299173,26.06757725,31349,1792548,17753.78253
Wisconsin,1990,107.938464,77.83479852,86.62755708,12.51814106,8.299759782,0.493006084,88.13634531,0.878294812,13.84036326,5.083460632,-30.10366549,0,33.3880005,4.843459671,9.592123474,14.51121188,25.80154979,0,115638,4904562,37415.57624
Wyoming,1990,72.03510462,57.5277397,61.40593113,8.537856064,1.975007333,0.116310093,69.72864134,0.587534741,1.546122773,0.172805758,-14.50736492,0,40.25069225,0.859685286,0.837973499,10.41663246,5.985288634,11.37836921,13673,453690,10065.49232
United States,1990,5977.034253,5079.347458,5143.304953,501.278312,296.2232903,36.2276978,5335.602083,96.16357387,383.15129,162.1173069,-897.6867958,0,1812.810774,227.9674678,346.7049825,1115.071621,1660.41156,172.6356774,6638210,249622814,2129532.38
Alabama,1991,141.9915571,80.07871555,116.2871406,20.1879274,4.916950862,0.576954391,129.4536922,3.452543199,5.60614708,3.456590713,-61.91284153,0.022583859,54.50252623,2.018598558,3.139096312,25.64488501,30.20762447,13.94096165,86115,4099156,42409.62845
Alaska,1991,46.37942602,15.05720642,36.6387234,9.424401838,0.275025861,0.040825451,44.75841878,1.225913315,0.043242773,0.351401688,-31.3222196,0.000449469,2.469019856,2.243982636,1.624414068,17.46791584,11.38466226,9.568424119,25821,570193,15186.7772
Arizona,1991,71.75466021,78.68182313,64.64289675,3.542098014,2.790001237,0.779664205,65.37332495,1.660255656,3.334492146,1.386587457,6.927162925,0,32.92061059,1.845228793,1.956252824,3.943731107,24.6089624,0.098539228,81946,3788576,23807.09896
Arkansas,1991,66.18039301,20.23373022,51.22171561,7.737253362,6.952233209,0.269190832,52.03808832,1.114495771,11.3960436,1.631765323,-45.9466628,0,21.84002535,1.636941939,2.606816158,8.203320147,17.07401342,0.676971311,46498,2383144,21306.89771
California,1991,408.7932795,379.6662665,356.5752555,30.88173531,18.5144191,2.602481415,366.9400606,7.37759729,20.90420671,13.35202677,-29.12701303,0.219388181,38.06498499,19.22725028,29.87505103,73.28585297,201.9191387,4.567782647,893112,30470736,185051.6084
Colorado,1991,83.68796669,72.04543407,67.92947251,10.45435647,4.951985982,0.352151724,74.37061026,0.789583935,8.011839739,0.515932756,-11.64253262,0,30.75307046,4.304509745,5.881133231,7.335554882,20.34269858,5.753643353,90780,3387119,24789.22728
Connecticut,1991,43.27497333,38.92007559,40.52837375,1.331451765,1.149762944,0.265384869,40.82606097,0.29950151,0.279433917,1.869976933,-4.354897738,0,10.56891958,3.657409617,7.99235834,3.092183312,15.51519012,0,118216,3302895,19337.12236
Delaware,1991,18.88130658,19.15407192,17.61149658,0.314706183,0.859256552,0.095847271,17.84654819,0.101977845,0.66130467,0.27147588,0.272765341,0,7.78267469,0.578837471,1.108462426,3.05634626,5.32022734,0,26929,683080,6383.481298
District Of Columbia,1991,4.674025778,4.589824012,4.396312815,0.065405051,0.131593558,0.080714353,4.529979263,0.087765582,0,0.056280932,-0.084201766,0,0.232767771,1.373272676,0.94012208,0.026446348,1.957370388,0,50241,600870,4715.848877
Florida,1991,211.0961461,220.6434644,190.1088805,11.85056016,7.69426243,1.410319292,192.3525089,2.824129861,6.795345581,9.092038001,9.54731827,0.032123728,91.63695159,6.012888723,1.765947456,11.66146022,81.1674882,0.107772765,305979,13369798,81807.95782
Georgia,1991,144.0057586,101.1107888,131.4879755,6.002287263,5.743985329,0.771332883,133.7985489,1.746581306,5.302882986,3.157567828,-42.89496972,0.000177534,55.37258708,3.645299678,6.272652487,18.46905612,50.03895353,0,167209,6653005,56007.7991
Hawaii,1991,21.5204469,21.25541224,19.75255909,1.047719903,0.620635955,0.081749953,19.77694949,0.197816612,0.643916798,0.883982003,-0.265034655,0.017781996,6.049303349,0.437178358,0.045294015,2.027765518,11.21740825,0,39756,1136754,7438.184402
Idaho,1991,20.13530938,-14.94918663,12.59207004,3.695168722,3.596944431,0.251126186,12.51764418,0.768422169,6.396371073,0.452871953,-35.08449601,0,0.00257687,0.954396454,0.926159623,4.054638879,6.579872359,0,20592,1041316,10470.32353
Illinois,1991,235.3374193,225.4335556,195.4216911,19.53198847,19.27087459,1.112857028,201.5630055,3.441929243,19.95672549,10.37575098,-9.90386368,8.10E-06,57.97888693,12.03248769,27.11367058,44.54566717,55.14024672,4.752046382,323640,11568964,91856.06243
Indiana,1991,224.1884803,210.3723601,203.6147598,7.782380994,11.53099839,1.260341174,205.2509289,3.286162448,11.90999637,3.741392642,-13.81612024,0,95.36111971,5.318213718,10.007087,51.61302655,41.80877927,1.142702611,128215,5616388,62367.1896
Iowa,1991,99.77250811,91.36847533,67.7701145,12.24556143,19.46490937,0.291922811,67.1244544,2.043770532,28.67802915,1.926254027,-8.404032782,0,27.63946214,3.521595796,5.611693832,13.77453819,16.56610999,0.011054454,63818,2797613,24747.69838
Kansas,1991,95.54861407,85.35050018,70.9634989,13.40735825,10.91042629,0.267330632,73.74225746,2.717427583,17.72322088,1.365708142,-10.19811388,0,27.37456645,3.397679671,4.403783049,15.51888287,18.87205086,4.175294562,61275,2498722,26736.75141
Kentucky,1991,139.6493398,124.2428739,119.8249525,12.98004735,5.698031116,1.146308793,126.4464237,1.978955812,7.931469049,3.292491254,-15.40646592,0,67.58632995,2.792877232,4.47426226,18.31898161,27.65254257,5.621430064,78908,3722328,37472.65328
Louisiana,1991,226.3337821,209.12095,208.299427,13.07401151,4.259714406,0.609509297,210.3367028,6.858213625,6.079790447,2.967955361,-17.21283208,0.091119843,34.80657272,1.943151331,3.253827319,110.2558724,52.72427443,7.353004617,110055,4253279,96944.26026
Maine,1991,20.88595114,39.79477611,19.28126646,0.662694701,0.766855331,0.175111797,19.12339545,0.85092377,0.411642314,0.499966753,18.90882496,2.29E-05,1.715513265,2.226208072,3.03858942,4.132554646,8.010530046,0,26836,1237081,11595.00586
Maryland,1991,78.81933638,76.32713386,70.62668903,4.457365808,2.979884538,0.752221699,71.38180249,1.626101309,2.00718601,3.801071273,-2.492202523,0.003175301,25.83582012,3.551328371,6.342145678,9.93162248,25.46903246,0.251853376,133662,4867641,31885.27703
Massachusetts,1991,89.02973482,84.16366644,83.22296625,3.267909436,2.034954865,0.501699412,83.85266669,0.564019729,0.319658072,4.291185467,-4.866068376,0.002204854,25.83278481,9.221511639,14.47971043,5.000828474,29.31783134,0,183996,6018470,34418.76692
Michigan,1991,202.5450401,148.2696096,181.7033533,11.76793474,8.266477073,0.807274933,182.5151787,3.391353157,7.321041257,9.317466943,-54.2754305,0,67.78810339,10.87073099,22.82179777,28.75658617,51.50811381,0.769846565,225576,9400446,70746.14982
Minnesota,1991,101.8133511,128.5108439,80.10402895,7.562138727,13.67072457,0.476182932,81.34734609,0.548600827,17.42006477,2.497063495,26.69749285,0.000275916,28.58690347,5.479442165,8.97960719,11.99988952,26.30150374,0,120067,4440859,35978.87274
Mississippi,1991,58.84786872,19.03298961,49.1999267,4.738257084,4.597561076,0.31212386,50.27738233,1.064315169,6.092033704,1.414137516,-39.81487911,0,12.07375613,1.336368515,1.884890034,11.27152076,22.94822279,0.762624101,45841,2598733,26583.03399
Missouri,1991,128.8406165,110.6186215,105.7752063,11.00613186,11.13926908,0.920009315,105.1541502,3.849312577,16.08357308,3.753580646,-18.22199508,0,47.78295159,4.671996362,8.095378089,9.050474877,35.47626068,0.077088655,124167,5170800,38233.85691
Montana,1991,39.83437322,-29.14121665,30.00371103,5.788078171,3.655155781,0.38742824,31.62915654,0.773136838,7.096664296,0.335415549,-68.97558988,0,17.38044045,0.900152591,1.321163561,4.346497071,6.087456557,1.593446308,15739,809680,8881.162591
Nebraska,1991,57.59788994,50.29257911,34.57233465,9.841311124,13.00804213,0.176202036,34.57504884,0.909066537,21.48968437,0.624090198,-7.305310835,0,14.32083605,2.286216046,2.779513795,4.3331084,10.77780358,0.077570965,40250,1595919,13479.50584
Nevada,1991,35.90763085,26.88831607,33.39116248,1.36318347,0.996178909,0.157105992,33.10072755,1.010577606,1.380671026,0.415654671,-9.019314784,0,18.11563029,1.160114707,1.316082353,2.246567878,10.21825324,0.044079085,37713,1296171,10476.39663
New Hampshire,1991,15.43104222,10.58697018,14.36037778,0.515247719,0.461392508,0.094024211,14.6929015,0.105508674,0.160280732,0.472351307,-4.844072041,0,4.39975943,1.340642896,2.479189188,0.811032411,5.66227758,0,27411,1109929,6355.812162
New Jersey,1991,121.0129326,110.6179076,112.4348479,5.168319916,2.7800774,0.629687385,114.4075317,0.710597428,0.545893034,5.348910455,-10.39502503,0,12.03496914,11.09713239,15.6642244,15.51617227,60.09503348,0,252718,7814676,57326.92137
New Mexico,1991,59.13805249,53.68128053,48.67515446,8.128665526,2.133334259,0.20089825,53.84807129,0.711439415,3.943930386,0.634611404,-5.45677197,0,23.42674544,1.671289877,1.986051608,6.557651556,15.21981974,4.986513067,31980,1555305,14848.87606
New York,1991,226.1166176,212.7323284,201.9235909,16.26737164,6.252583169,1.672292935,205.0109923,2.524142746,5.164423116,13.41628054,-13.38428916,0.000778889,58.69122954,26.61033359,33.42335526,19.56585555,66.23028907,0.489929259,577446,18122510,92538.84498
North Carolina,1991,126.1665788,127.3279137,110.5551427,7.651354281,6.894856477,1.063258045,113.2020065,1.133835769,7.363336598,4.465432624,1.161334929,0.0019673,47.04183426,3.59776453,5.489174128,16.93432165,40.13891196,0,162239,6784280,51293.1094
North Dakota,1991,51.73739156,50.62683489,42.23388459,3.760771834,5.607344275,0.13539086,43.32544237,0.231107432,7.901496922,0.279344835,-1.110556666,0,29.22291335,0.885443941,1.24396685,6.169781956,4.91295988,0.890376393,13118,635753,8124.520086
Ohio,1991,275.1765407,252.1612724,245.2923141,17.24549771,10.86714111,1.771516978,253.0681935,2.982166041,9.807031276,9.319079053,-23.01526833,7.08E-05,110.9301474,10.60866475,21.44447724,46.34435586,58.68080496,5.059743364,263064,10945762,94943.99342
Oklahoma,1991,117.8707067,108.9056431,93.13245604,16.80568652,7.493251398,0.439312748,98.66714463,3.220618508,13.29902781,2.683915753,-8.965063552,0,38.37858883,2.534104009,4.087292729,21.00774839,25.73992881,6.919481865,67424,3175440,33166.70073
Oregon,1991,43.36840281,-45.70362628,35.15391235,3.875810492,3.29485029,1.018409887,35.84095749,1.370615518,4.75802475,1.373385265,-89.07202909,0.025419785,3.633372811,1.900212836,2.238618653,5.582938817,22.48229981,0.00351456,65969,2928507,25444.39109
Pennsylvania,1991,282.6512006,259.5591178,262.1741388,12.59035663,6.590723568,1.260394858,264.9266583,5.103926704,6.2822402,6.302788708,-23.09208278,0.03558667,103.1732312,13.34040228,24.20203473,58.54603042,62.41610072,3.248858973,289708,11982164,90044.43963
Rhode Island,1991,11.59310297,11.02374874,10.8124425,0.426046053,0.288073693,0.066529961,11.09585639,0.076934094,0.036796353,0.383505374,-0.569354237,1.08E-05,1.355931296,1.1683808,2.385847027,1.785915331,4.399781935,0,25005,1010649,5497.564962
South Carolina,1991,69.79780905,63.54506331,63.26258902,2.880730587,2.763897407,0.889980218,63.62579128,1.975992316,2.27668107,1.91873257,-6.252745738,0.000611812,22.52577765,1.414421102,2.299588598,13.34710228,24.03890165,0,76010,3570404,32514.00648
South Dakota,1991,24.5227611,24.35442203,12.29717445,5.968379009,6.193565869,0.063641768,12.49931519,0.420359742,11.29418665,0.308899513,-0.168339066,0,3.371063407,0.686424432,1.219909711,2.030584207,4.689469371,0.50186406,15411,703669,5383.20928
Tennessee,1991,115.5114645,56.62897859,101.3894715,7.719514967,5.271240688,1.131237321,102.401584,2.387062831,6.666502029,4.056315607,-58.88248587,0,43.62417606,3.415916174,3.587408843,18.68581353,32.8245818,0.263687601,114266,4966587,45133.12315
Texas,1991,689.4054567,674.4620794,608.8551807,54.24820222,22.9184399,3.261780404,630.6815428,8.643627831,38.16791,11.79052262,-14.94337728,0.12185342,185.3638394,11.98345766,13.3338426,243.3679174,155.3100717,21.32241395,444358,17398005,259937.0156
Utah,1991,59.94164314,33.12791526,53.60413664,4.297842219,1.886047762,0.153616511,55.84593765,0.825067477,2.711455675,0.559182339,-26.81372788,0,27.67786261,1.897394623,3.161764581,9.232737726,11.62804942,2.248128682,38105,1779780,14251.44449
Vermont,1991,6.971708331,-4.378905737,5.698174528,0.686288339,0.475628252,0.111617212,5.919156163,0.117814838,0.896857638,0.037879693,-11.35061407,0,0.065816512,0.654764146,1.484313242,0.467223372,3.247038891,0,12952,568606,3341.111143
Virginia,1991,128.2466715,105.5792755,97.70296573,24.67802598,5.136905631,0.713890458,115.0843828,2.018318636,5.344914203,5.784172123,-22.66739592,0.014883666,25.17734169,4.22419358,6.452689488,20.11874735,42.70878398,16.40262676,172407,6301217,49664.33473
Washington,1991,86.16872778,42.88067395,73.2277211,5.378347535,4.655404215,2.850389048,74.76822711,3.29361813,5.633067057,2.416949604,-43.28805384,0.056865884,7.974114284,3.308668712,3.949808149,16.16380047,43.29469544,0.077140063,145050,5025624,51337.15826
West Virginia,1991,125.9907874,115.2252289,96.54829655,27.51212459,1.445868163,0.484498092,121.9801706,1.33064144,1.232526966,1.447448364,-10.76555853,0,65.45012634,1.817928521,2.366986971,16.293849,10.79574988,25.25552992,31986,1798735,16989.78174
