SPECIES,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Sparrow, Song ",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4
"Sparrow, Swamp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Junco, Dark-eyed ",16,4,93,2,5,52,3,29,62,21,19,177,9,67,12,28,8,230,5,19,31,24,207,17,40
"Junco, Oregon",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lapland Longspur,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow Bunting,165,0,0,0,0,0,10,2,8,0,0,0,0,20,0,0,5,0,86,109,0,300,0,2,2
Sparrow species (US),0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,1,1,0,0,8,0,20,0
"Cowbird, Brown-headed ",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,5,0,0,0,0,0
"Blackbird, Red-winged",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18,0,0,1,0,0,0,0
"Grackle, Common",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0
"Grosbeak, Evening ",236,28,505,7,0,6,73,46,103,0,77,0,0,0,11,11,0,0,0,32,0,17,0,0,10
"Grosbeak, Pine ",9,0,0,0,8,0,4,0,22,0,35,0,35,0,0,0,12,0,47,16,0,0,0,2,0
"Finch, Purple ",43,11,7,10,16,0,0,0,2,0,0,45,1,4,0,38,8,2,0,3,0,0,1,0,9
"Finch, House ",1,42,33,21,7,43,8,5,30,0,3,8,20,3,0,2,4,0,21,10,10,0,9,2,3
"Crossbill, Red",0,0,0,0,0,16,0,65,53,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
"Crossbill, White-winged ",12,0,0,0,0,31,0,15,23,0,0,14,2,4,4,2,0,0,9,15,6,0,0,0,0
"Redpoll, Common",5,0,40,0,151,0,61,0,142,0,95,0,47,0,332,0,15,14,59,52,4,233,0,188,0
Pine Siskin,0,0,16,10,45,19,1,2,2,1,7,270,6,0,6,77,0,0,0,395,0,10,278,13,8
"Goldfinch, American ",99,64,167,120,130,290,3,480,28,237,5,282,39,176,10,427,48,381,16,233,143,53,427,7,248
"Sparrow, House ",80,153,92,40,74,151,7,62,104,101,121,50,76,71,51,43,15,18,4,19,36,65,28,37,13
Yellow bellied sapsucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Northern Flicker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Common Merganser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Hawk, Rough-legged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
All Bird Species,3608,1796,2437,2273,1649,2414,1452,2236,2970,1566,1994,2124,2028,2184,2406,3350,2336,2580,1856,3347,2020,1985,2745,1515,2546
